
2025-03-12T01:18:10.955Z [INFO] جاري تهيئة قاعدة البيانات...
2025-03-12T01:18:13.406Z [INFO] اكتملت عملية تهيئة قاعدة البيانات بنجاح
2025-03-12T01:18:28.805Z [INFO] GET /src/components/icons/ShoppingCartIcon.tsx - 304 - 230ms
2025-03-12T01:18:28.936Z [INFO] GET /src/components/icons/BarChart3Icon.tsx - 304 - 231ms
2025-03-12T01:18:29.056Z [INFO] GET /src/components/ui/table.tsx - 304 - 231ms
2025-03-12T01:18:29.081Z [INFO] GET /src/components/inventory/inventory-table.tsx - 304 - 231ms
2025-03-12T01:18:29.245Z [INFO] GET /src/components/ui/input.tsx - 304 - 231ms
2025-03-12T01:18:29.274Z [INFO] GET /src/components/ui/dialog.tsx - 304 - 234ms
2025-03-12T01:18:29.275Z [INFO] GET /src/components/ui/form.tsx - 304 - 233ms
2025-03-12T01:18:29.396Z [INFO] GET /src/hooks/use-toast.ts - 304 - 231ms
2025-03-12T01:18:29.518Z [INFO] GET /@fs/home/runner/workspace/shared/schema.ts - 304 - 232ms
2025-03-12T01:18:29.551Z [INFO] GET /@fs/home/runner/workspace/node_modules/vite/dist/client/env.mjs - 304 - 234ms
2025-03-12T01:18:29.719Z [INFO] GET /src/components/ui/tabs.tsx - 304 - 232ms
2025-03-12T01:18:29.741Z [INFO] GET /src/lib/queryClient.ts - 304 - 231ms
2025-03-12T01:18:29.743Z [INFO] GET /src/components/ui/toaster.tsx - 304 - 230ms
2025-03-12T01:18:29.857Z [INFO] GET /src/components/ui/toast.tsx - 304 - 235ms
2025-03-12T01:18:29.989Z [INFO] GET /src/hooks/use-auth.tsx - 304 - 232ms
2025-03-12T01:18:30.024Z [INFO] GET /src/lib/protected-route.tsx - 304 - 231ms
2025-03-12T01:18:30.189Z [INFO] GET /src/pages/not-found.tsx - 304 - 234ms
2025-03-12T01:18:30.204Z [INFO] GET /src/pages/auth-page.tsx - 304 - 231ms
2025-03-12T01:18:30.220Z [INFO] GET /src/components/ui/alert.tsx - 304 - 231ms
2025-03-12T01:18:30.316Z [INFO] GET /src/pages/dashboard.tsx - 304 - 231ms
2025-03-12T01:18:30.451Z [INFO] GET /src/components/dashboard/stats-cards.tsx - 304 - 232ms
2025-03-12T01:18:30.490Z [INFO] GET /src/components/dashboard/analytics-charts.tsx - 304 - 231ms
2025-03-12T01:18:30.709Z [INFO] GET /src/components/dashboard/exchange-rate.tsx - 304 - 231ms
